name	x	y	z	size
A1	-22.4389591217041	-72.353385925293	-8.25743961334229	0
A2	-21.31471824646	-59.027660369873	-10.1751432418823	0
A3	-15.7100353240967	-45.5783386230469	-10.9796266555786	0
A4	-19.7272396087646	-32.7210006713867	-20.0797309875488	0
A5	-21.6077537536621	-23.5079936981201	-29.7024993896484	0
A6	-15.9771680831909	-10.1464900970459	-29.230396270752	0
A7	-18.3219375610352	-5.77205562591553	-32.5369033813477	0
A8	-20.9268283843994	2.17075204849243	-39.4631805419922	0
A9	-19.3268222808838	-8.61306953430176	-35.5345840454102	0
A10	-34.5821800231934	-6.49454355239868	-45.6449089050293	0
A11	-39.9288215637207	-5.07219934463501	-46.8469848632813	0
A12	-43.0986633300781	-1.02315068244934	-42.8015441894531	0
A13	-49.2709312438965	3.44576191902161	-37.1552734375	0
A14	-53.4324569702148	6.36931896209717	-31.1918525695801	0
A15	-29.5552310943604	-80.7473907470703	-14.3121738433838	0
A16	-23.3257713317871	-73.7174453735352	-6.52281856536865	0
A17	-34.4112777709961	-60.4403305053711	-18.3314247131348	0
A18	-38.7387466430664	-50.6441879272461	-23.6622371673584	0
A19	-41.3601036071777	-48.5022201538086	-20.8823719024658	0
A20	-48.8098487854004	-39.1279830932617	-28.9058437347412	0
A21	-54.4077682495117	-38.944881439209	-30.8097286224365	0
A22	-57.1682548522949	-22.333927154541	-25.8279609680176	0
A23	-30.527063369751	-93.5138397216797	-17.2889003753662	0
A24	-40.8941650390625	-88.504280090332	-12.0367860794067	0
A25	-44.9488945007324	-77.7588500976563	-7.46573734283447	0
A26	-49.7816352844238	-79.6031951904297	6.51457738876343	0
A27	-50.7339477539063	-77.7181701660156	9.56133460998535	0
A28	-45.8483505249023	-64.1775512695313	12.2846231460571	0
A29	-55.9389114379883	-53.9760856628418	23.5690002441406	0
A30	-59.10546875	-51.9794845581055	32.6143264770508	0
A31	-68.2317886352539	-31.9051704406738	6.72720050811768	0
A32	-65.6318740844727	-16.3740940093994	16.2492485046387	0
A33	-48.5713272094727	-81.3258514404297	7.72567081451416	0
A34	-44.8336067199707	-72.0749664306641	16.6053504943848	0
A35	-42.1507186889648	-63.3133239746094	20.8361186981201	0
A36	-49.6883544921875	-53.502124786377	33.6491622924805	0
A37	-51.6023559570313	-52.3651008605957	39.6307373046875	0
A38	-59.7887954711914	-37.7750778198242	43.2224349975586	0
B1	-40.330738067627	46.4231986999512	21.3402042388916	0
B2	-34.711238861084	41.7196617126465	26.2122554779053	0
B3	-32.6062088012695	33.983715057373	32.0388603210449	0
B4	-42.9043655395508	24.5509452819824	39.5526580810547	0
B5	-32.8521499633789	12.5886659622192	55.2489929199219	0
B6	-26.0377082824707	10.100887298584	52.4446182250977	0
B7	-22.7639579772949	5.32534027099609	50.248119354248	0
B8	-28.4663581848145	-13.4039745330811	68.783821105957	0
B9	-38.1103134155273	34.3606185913086	10.3344049453735	0
B10	-37.7492332458496	31.8577575683594	13.6829166412354	0
B11	-48.7068138122559	25.8221321105957	33.2933197021484	0
B12	-45.742546081543	20.4256286621094	37.2643661499023	0
B13	-39.2238273620605	3.93283605575562	38.2924728393555	0
B14	-43.5354957580566	3.1877498626709	40.8420753479004	0
B15	-48.9565353393555	-0.799619555473328	50.262622833252	0
B16	-36.2079200744629	-19.564395904541	69.0044403076172	0
B17	-43.937614440918	36.8742752075195	7.39342880249023	0
B18	-54.9329452514648	26.2365455627441	11.0571880340576	0
B19	-47.062385559082	20.749698638916	21.3016242980957	0
B20	-39.5516586303711	18.4503288269043	23.1770992279053	0
B21	-49.485969543457	1.30692458152771	34.6937026977539	0
B22	-52.3937149047852	-10.3224000930786	46.0325698852539	0
B23	-43.4342460632324	-10.0320310592651	62.3243522644043	0
B24	-49.4770965576172	-19.4181118011475	59.7941665649414	0
B25	-55.2074813842773	28.8253326416016	4.40309906005859	0
B26	-56.1294250488281	23.287841796875	8.54174518585205	0
B27	-53.3241806030273	22.0811557769775	20.6797504425049	0
B28	-50.602611541748	5.62898921966553	31.0884857177734	0
B29	-60.9423522949219	0.0159674640744925	30.4166965484619	0
B30	-60.936637878418	-16.2836494445801	34.265567779541	0
B31	-57.3746032714844	-19.6481113433838	49.9307746887207	0
B32	-52.4906921386719	-23.4230537414551	53.7779426574707	0
B33	-52.2434577941895	27.836597442627	0.683876216411591	0
B34	-57.2734146118164	18.71755027771	15.8569974899292	0
B35	-55.7854804992676	18.3598232269287	21.744930267334	0
B36	-62.5273323059082	1.62836611270905	19.2364978790283	0
B37	-63.717658996582	-8.33469200134277	30.9068202972412	0
B38	-61.4026985168457	-16.7557487487793	29.9092960357666	0
B39	-57.916374206543	-24.1364765167236	29.3925743103027	0
B40	-61.5887336730957	-29.1169681549072	37.7183303833008	0
B41	-57.5528373718262	6.48375940322876	-15.0566129684448	0
B42	-60.3345260620117	2.76341509819031	-5.94242763519287	0
B43	-62.1890678405762	-4.76342248916626	-0.416057050228119	0
B44	-62.2599487304688	-5.69262409210205	12.9168643951416	0
B45	-66.0680770874023	-9.86099243164063	20.2165489196777	0
B46	-63.346508026123	-17.8053913116455	25.0673732757568	0
B47	-66.0215835571289	-30.5096492767334	24.2157764434814	0
B48	-64.9640579223633	-32.803840637207	33.6305961608887	0
B49	-51.9611282348633	4.84298992156982	-23.0755004882813	0
B50	-61.2671203613281	-1.93967473506927	-8.58244514465332	0
B51	-64.9944915771484	-12.7644519805908	-0.598258256912231	0
B52	-63.1134567260742	-13.5821094512939	4.06382465362549	0
B53	-68.3958358764648	-27.6497383117676	0.986248016357422	0
B54	-68.1221160888672	-31.7914772033691	4.8079981803894	0
B55	-60.7126274108887	-48.7099685668945	34.8341522216797	0
B56	-57.5937728881836	-49.8492622375488	37.3854522705078	0
B57	-54.7134323120117	5.1509313583374	-28.9216766357422	0
B58	-65.5915069580078	-16.630392074585	-20.3054504394531	0
B59	-67.1138610839844	-20.0583229064941	-17.3133411407471	0
B60	-66.3744277954102	-21.5383815765381	-2.31545948982239	0
B61	-60.4065933227539	-35.101318359375	0.617561340332031	0
B62	-66.6616973876953	-34.601203918457	3.6468460559845	0
B63	-57.1884384155273	-52.0125427246094	33.1892051696777	0
B64	-52.4689865112305	-52.542797088623	31.6693687438965	0
